n,has_partitions,p,q,j,k
2801,True,2,1777,10,1
2801,True,2,2797,2,1
2851,True,2,2819,5,1
2851,True,2,2339,9,1
2851,True,2,2843,3,1
2819,True,2,2803,4,1
2843,False,,,,
2861,True,2,2857,2,1
2861,True,2,2797,6,1
2857,True,2,809,11,1
2857,True,2,2729,7,1
2887,True,2,2879,3,1
2887,True,2,839,11,1
2897,True,2,2833,6,1
2897,True,2,1873,10,1
2879,False,,,,
2903,True,2,2887,4,1
2903,True,2,2647,8,1
2903,True,2,1879,10,1
2917,True,2,2909,3,1
2917,True,2,2789,7,1
2909,False,,,,
2927,True,2,2671,8,1
2939,True,2,2683,8,1
2953,True,2,2441,9,1
2963,True,2,2707,8,1
2957,True,2,1933,10,1
2957,True,2,2953,2,1
2971,True,2,2459,9,1
2971,True,2,2843,7,1
2971,True,2,2963,3,1
2971,True,2,2969,1,1
2971,True,2,2939,5,1
2969,True,2,2953,4,1
2969,True,2,2713,8,1
2999,False,,,,
3001,True,2,953,11,1
3001,True,2,2969,5,1
3001,True,2,2999,1,1
3023,True,2,1999,10,1
3023,True,2,3019,2,1
3023,True,2,2767,8,1
3019,True,2,3011,3,1
3019,True,2,971,11,1
3011,True,2,1987,10,1
3049,True,2,3041,3,1
3037,True,2,2909,7,1
3041,True,2,3037,2,1
3041,True,2,2017,10,1
3061,True,2,1013,11,1
3061,True,2,2549,9,1
3067,True,2,1019,11,1
3067,True,2,2939,7,1
3079,True,2,1031,11,1
3089,True,2,2833,8,1
3109,True,2,1061,11,1
3083,True,2,3079,2,1
3083,True,2,3019,6,1
3083,True,2,3067,4,1
3119,False,,,,
3137,True,2,3121,4,1
3137,True,2,2113,10,1
3169,True,2,3041,7,1
3169,True,2,3137,5,1
3169,True,2,3167,1,1
3169,True,2,2657,9,1
3121,True,2,3089,5,1
3121,True,2,2609,9,1
3121,True,2,3119,1,1
3163,False,,,,
3167,True,2,3163,2,1
3167,True,2,2143,10,1
3181,False,,,,
3187,False,,,,
3209,True,2,2953,8,1
3203,True,2,3187,4,1
3203,True,2,2179,10,1
3191,True,2,3187,2,1
3221,True,2,3217,2,1
3221,True,2,13,10,3
