n,has_partitions,p,q,j,k
1613,True,2,1609,2,1
1613,True,2,1549,6,1
1609,True,2,1601,3,1
1609,True,2,1481,7,1
1609,True,2,1607,1,1
1609,True,2,1097,9,1
1619,False,,,,
1621,True,2,1493,7,1
1621,True,2,1619,1,1
1621,True,2,1109,9,1
1621,True,2,1613,3,1
1627,True,2,1499,7,1
1627,True,2,1619,3,1
1657,False,,,,
1637,True,2,1621,4,1
1637,True,2,1381,8,1
1637,True,2,613,10,1
1667,True,2,1663,2,1
1667,True,2,643,10,1
1663,True,2,1151,9,1
1693,True,2,1181,9,1
1669,True,2,1667,1,1
1669,True,2,1637,5,1
1699,True,2,1667,5,1
1699,True,2,1697,1,1
1699,True,2,1571,7,1
1699,True,2,1187,9,1
1709,True,2,1693,4,1
1709,True,2,1453,8,1
1697,True,2,673,10,1
1697,True,2,1693,2,1
1697,True,2,41,4,2
1733,True,2,709,10,1
1733,True,2,1669,6,1
1723,True,2,1721,1,1
1721,True,2,1657,6,1
1741,True,2,1613,7,1
1741,True,2,1733,3,1
1741,True,2,1709,5,1
1741,True,2,1229,9,1
1747,True,2,1619,7,1
1777,False,,,,
1759,False,,,,
1753,True,2,3,10,6
1753,True,2,1721,5,1
1783,False,,,,
1787,True,2,1783,2,1
1787,True,2,1531,8,1
1787,True,2,1723,6,1
1801,True,2,1289,9,1
1789,True,2,1787,1,1
1789,True,2,1277,9,1
1811,True,2,1747,6,1
1811,True,2,787,10,1
1823,True,2,1759,6,1
1823,True,2,1567,8,1
1831,True,2,1319,9,1
1831,True,2,1823,3,1
1847,True,2,1783,6,1
1847,True,2,823,10,1
1847,True,2,1831,4,1
1871,True,2,1867,2,1
1873,True,2,1871,1,1
1873,True,2,1361,9,1
1861,True,2,1733,7,1
1867,False,,,,
1879,True,2,1877,1,1
1879,True,2,1367,9,1
1879,True,2,1847,5,1
1879,True,2,1871,3,1
1877,True,2,853,10,1
1877,True,2,1873,2,1
1877,True,2,1861,4,1
1877,True,2,1621,8,1
1889,True,2,1873,4,1
1901,True,2,877,10,1
1913,True,2,1657,8,1
1913,True,2,43,6,2
1907,True,2,883,10,1
1933,True,2,1931,1,1
1933,True,2,1901,5,1
1931,True,2,907,10,1
1931,True,2,1867,6,1
1951,True,2,1949,1,1
1951,True,2,1439,9,1
1951,True,2,1823,7,1
1949,True,2,1693,8,1
1949,True,2,1933,4,1
1979,True,2,1723,8,1
1987,True,2,1979,3,1
1993,True,2,1481,9,1
1973,False,,,,
1997,True,2,1741,8,1
