n,has_partitions,p,q,j,k
883,True,2.0,881.0,1.0,1.0
887,True,2.0,631.0,8.0,1.0
887,True,2.0,823.0,6.0,1.0
887,True,2.0,883.0,2.0,1.0
907,False,,,,
911,True,2.0,907.0,2.0,1.0
919,True,2.0,911.0,3.0,1.0
919,True,2.0,887.0,5.0,1.0
929,True,2.0,673.0,8.0,1.0
937,True,2.0,929.0,3.0,1.0
937,True,2.0,809.0,7.0,1.0
941,True,2.0,877.0,6.0,1.0
941,True,2.0,937.0,2.0,1.0
947,True,2.0,691.0,8.0,1.0
947,True,2.0,883.0,6.0,1.0
953,True,2.0,937.0,4.0,1.0
967,True,2.0,839.0,7.0,1.0
971,True,2.0,907.0,6.0,1.0
971,True,2.0,967.0,2.0,1.0
977,True,2.0,31.0,4.0,2.0
983,True,2.0,727.0,8.0,1.0
983,True,2.0,967.0,4.0,1.0
983,True,2.0,919.0,6.0,1.0
991,True,2.0,479.0,9.0,1.0
991,True,2.0,863.0,7.0,1.0
991,True,2.0,983.0,3.0,1.0
997,False,,,,
1009,True,2.0,977.0,5.0,1.0
1009,True,2.0,881.0,7.0,1.0
1013,True,2.0,757.0,8.0,1.0
1013,True,2.0,1009.0,2.0,1.0
1013,True,2.0,997.0,4.0,1.0
1019,False,,,,
1021,True,2.0,509.0,9.0,1.0
1021,True,2.0,1013.0,3.0,1.0
1021,True,2.0,1019.0,1.0,1.0
1031,True,2.0,7.0,10.0,1.0
1031,True,2.0,967.0,6.0,1.0
1033,True,2.0,3.0,10.0,2.0
1033,True,2.0,521.0,9.0,1.0
1033,True,2.0,1031.0,1.0,1.0
1039,True,2.0,1031.0,3.0,1.0
1039,True,2.0,911.0,7.0,1.0
1049,True,2.0,1033.0,4.0,1.0
1049,True,2.0,5.0,10.0,2.0
1051,True,2.0,3.0,10.0,3.0
1051,True,2.0,1019.0,5.0,1.0
1051,True,2.0,1049.0,1.0,1.0
1061,True,2.0,997.0,6.0,1.0
